CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.908299+((2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144)))))))-0.024493992328643799)" 
0, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.908299+((2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144)))))))-0.020933238789439201)" 
0, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.908299+((2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144)))))))-0.029219608753919601)" 
0, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.908299+((2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144)))))))-0.039571482688188553)" 
0, mujets, down, 0, -2.4, 2.4, 300, 670, 0, 1, "0.908299+((2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144)))))))-0.047329759448766708)" 
0, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.908299+(2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144))))))))+0.044655226171016693" 
0, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.908299+(2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144))))))))+0.030660966411232948" 
0, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.908299+(2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144))))))))+0.048987984657287598" 
0, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.908299+(2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144))))))))+0.041866477578878403" 
0, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.908299+(2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144))))))))+0.058439217507839203" 
0, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.908299+(2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144))))))))+0.079142965376377106" 
0, mujets, up, 1, -2.4, 2.4, 300, 670, 0, 1, "(0.908299+(2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144))))))))+0.094659518897533417" 
0, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.908299+(2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144))))))))+0.022327613085508347" 
0, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.908299+(2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144))))))))+0.015330483205616474" 
0, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.908299+(2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144))))))))+0.024493992328643799" 
0, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.908299+(2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144))))))))+0.020933238789439201" 
0, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.908299+(2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144))))))))+0.029219608753919601" 
0, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.908299+(2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144))))))))+0.039571482688188553" 
0, mujets, up, 0, -2.4, 2.4, 300, 670, 0, 1, "(0.908299+(2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144))))))))+0.047329759448766708" 
1, mujets, central, 1, -2.4, 2.4, 30, 670, 0, 1, "-(0.0443172)+(0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85)))))))" 
1, mujets, central, 0, -2.4, 2.4, 30, 670, 0, 1, "-(0.0443172)+(0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85)))))))" 
1, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 1, "-(0.0443172)+((0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85)))))))-0.063294470310211182)" 
1, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 1, "-(0.0443172)+((0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85)))))))-0.043231822550296783)" 
1, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 1, "-(0.0443172)+((0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85)))))))-0.065539278090000153)" 
1, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 1, "-(0.0443172)+((0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85)))))))-0.04837958887219429)" 
1, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 1, "-(0.0443172)+((0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85)))))))-0.087311208248138428)" 
1, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 1, "-(0.0443172)+((0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85)))))))-0.12093273550271988)" 
1, mujets, down, 1, -2.4, 2.4, 300, 670, 0, 1, "-(0.0443172)+((0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85)))))))-0.129528530836105347)" 
1, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 1, "-(0.0443172)+((0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85)))))))-0.031647235155105591)" 
1, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 1, "-(0.0443172)+((0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85)))))))-0.021615911275148392)" 
1, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 1, "-(0.0443172)+((0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85)))))))-0.032769639045000076)" 
1, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 1, "-(0.0443172)+((0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85)))))))-0.024189794436097145)" 
1, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 1, "-(0.0443172)+((0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85)))))))-0.043655604124069214)" 
1, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 1, "-(0.0443172)+((0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85)))))))-0.06046636775135994)" 
1, mujets, down, 0, -2.4, 2.4, 300, 670, 0, 1, "-(0.0443172)+((0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85)))))))-0.064764265418052673)" 
1, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(-(0.0443172)+(0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85))))))))+0.063294470310211182" 
1, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(-(0.0443172)+(0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85))))))))+0.043231822550296783" 
1, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(-(0.0443172)+(0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85))))))))+0.065539278090000153" 
1, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(-(0.0443172)+(0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85))))))))+0.04837958887219429" 
1, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(-(0.0443172)+(0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85))))))))+0.087311208248138428" 
1, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(-(0.0443172)+(0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85))))))))+0.12093273550271988" 
1, mujets, up, 1, -2.4, 2.4, 300, 670, 0, 1, "(-(0.0443172)+(0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85))))))))+0.129528530836105347" 
1, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(-(0.0443172)+(0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85))))))))+0.031647235155105591" 
1, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(-(0.0443172)+(0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85))))))))+0.021615911275148392" 
1, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(-(0.0443172)+(0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85))))))))+0.032769639045000076" 
1, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(-(0.0443172)+(0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85))))))))+0.024189794436097145" 
1, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(-(0.0443172)+(0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85))))))))+0.043655604124069214" 
1, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(-(0.0443172)+(0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85))))))))+0.06046636775135994" 
1, mujets, up, 0, -2.4, 2.4, 300, 670, 0, 1, "(-(0.0443172)+(0.00496634*(log(x+1267.85)*(log(x+1267.85)*(3-(-(0.110428*log(x+1267.85))))))))+0.064764265418052673" 
2, mujets, central, 1, -2.4, 2.4, 30, 670, 0, 1, "-(5.1345)+(0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1)))))))" 
2, mujets, central, 0, -2.4, 2.4, 30, 670, 0, 1, "-(5.1345)+(0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1)))))))" 
2, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 1, "-(5.1345)+((0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1)))))))-0.063704296946525574)" 
2, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 1, "-(5.1345)+((0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1)))))))-0.047892197966575623)" 
2, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 1, "-(5.1345)+((0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1)))))))-0.077270857989788055)" 
2, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 1, "-(5.1345)+((0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1)))))))-0.062878459692001343)" 
2, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 1, "-(5.1345)+((0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1)))))))-0.098963312804698944)" 
2, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 1, "-(5.1345)+((0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1)))))))-0.14805065095424652)" 
2, mujets, down, 1, -2.4, 2.4, 300, 670, 0, 1, "-(5.1345)+((0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1)))))))-0.149765393555164337)" 
2, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 1, "-(5.1345)+((0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1)))))))-0.031852148473262787)" 
2, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 1, "-(5.1345)+((0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1)))))))-0.023946098983287811)" 
2, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 1, "-(5.1345)+((0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1)))))))-0.038635428994894028)" 
2, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 1, "-(5.1345)+((0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1)))))))-0.031439229846000671)" 
2, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 1, "-(5.1345)+((0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1)))))))-0.049481656402349472)" 
2, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 1, "-(5.1345)+((0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1)))))))-0.07402532547712326)" 
2, mujets, down, 0, -2.4, 2.4, 300, 670, 0, 1, "-(5.1345)+((0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1)))))))-0.074882696777582169)" 
2, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(-(5.1345)+(0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1))))))))+0.063704296946525574" 
2, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(-(5.1345)+(0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1))))))))+0.047892197966575623" 
2, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(-(5.1345)+(0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1))))))))+0.077270857989788055" 
2, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(-(5.1345)+(0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1))))))))+0.062878459692001343" 
2, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(-(5.1345)+(0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1))))))))+0.098963312804698944" 
2, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(-(5.1345)+(0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1))))))))+0.14805065095424652" 
2, mujets, up, 1, -2.4, 2.4, 300, 670, 0, 1, "(-(5.1345)+(0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1))))))))+0.149765393555164337" 
2, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(-(5.1345)+(0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1))))))))+0.031852148473262787" 
2, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(-(5.1345)+(0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1))))))))+0.023946098983287811" 
2, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(-(5.1345)+(0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1))))))))+0.038635428994894028" 
2, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(-(5.1345)+(0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1))))))))+0.031439229846000671" 
2, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(-(5.1345)+(0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1))))))))+0.049481656402349472" 
2, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(-(5.1345)+(0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1))))))))+0.07402532547712326" 
2, mujets, up, 0, -2.4, 2.4, 300, 670, 0, 1, "(-(5.1345)+(0.000820101*(log(x+11518.1)*(log(x+11518.1)*(3-(-(8.66128*log(x+11518.1))))))))+0.074882696777582169" 
0, comb, central, 2, 0, 2.4, 20, 1000, 0, 1, "((1.07278+(0.000535714*x))+(-1.14886e-06*(x*x)))+(7.0636e-10*(x*(x*x)))" 
0, comb, down, 2, 0, 2.4, 20, 1000, 0, 1, "((1.01637+(0.000265653*x))+(-4.22531e-07*(x*x)))+(2.23396e-10*(x*(x*x)))" 
0, comb, up, 2, 0, 2.4, 20, 1000, 0, 1, "((1.12921+(0.000804962*x))+(-1.87332e-06*(x*x)))+(1.18864e-09*(x*(x*x)))" 
1, comb, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.14022" 
1, comb, down, 2, 0, 2.4, 20, 1000, 0, 1, "0.94022" 
1, comb, up, 2, 0, 2.4, 20, 1000, 0, 1, "1.34022" 
2, comb, central, 2, 0, 2.4, 20, 1000, 0, 1, "0.907317" 
2, comb, down, 2, 0, 2.4, 20, 1000, 0, 1, "0.557317" 
2, comb, up, 2, 0, 2.4, 20, 1000, 0, 1, "1.257317" 
