DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
2, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))+0.10877241939306259" 
2, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))+0.096656471490859985" 
2, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))+0.10989730805158615" 
2, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))+0.12157130241394043" 
2, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))+0.1550547182559967" 
2, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))+0.1779310405254364" 
2, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))+0.14317682385444641" 
2, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))+0.083331704139709473" 
2, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))+0.034065559506416321" 
2, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))+0.031077833846211433" 
2, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))+0.027616133913397789" 
2, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))+0.031399231404066086" 
2, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))+0.034734658896923065" 
2, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))+0.044301345944404602" 
2, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))+0.050837442278862" 
2, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))+0.040907666087150574" 
0, incl, central, 2, 0, 2.5, 20, 1000, 0, 1, "1.43763+-0.000337048*x+2.22072e-07*x*x+-4.85489/x" 
0, incl, down, 2, 0, 2.5, 20, 1000, 0, 1, "(1.43763+-0.000337048*x+2.22072e-07*x*x+-4.85489/x)*(1-(0.0526747+8.27233e-05*x+-1.12281e-07*x*x))" 
0, incl, down_correlated, 2, 0, 2.5, 20, 1000, 0, 1, "(1.43763+-0.000337048*x+2.22072e-07*x*x+-4.85489/x)*(1-(0.0427523+0.000100325*x+-1.34487e-07*x*x))" 
0, incl, down_uncorrelated, 2, 0, 2.5, 20, 1000, 0, 1, "(1.43763+-0.000337048*x+2.22072e-07*x*x+-4.85489/x)*(1-(0.0296561))" 
0, incl, up, 2, 0, 2.5, 20, 1000, 0, 1, "(1.43763+-0.000337048*x+2.22072e-07*x*x+-4.85489/x)*(1+(0.0526747+8.27233e-05*x+-1.12281e-07*x*x))" 
0, incl, up_correlated, 2, 0, 2.5, 20, 1000, 0, 1, "(1.43763+-0.000337048*x+2.22072e-07*x*x+-4.85489/x)*(1+(0.0427523+0.000100325*x+-1.34487e-07*x*x))" 
0, incl, up_uncorrelated, 2, 0, 2.5, 20, 1000, 0, 1, "(1.43763+-0.000337048*x+2.22072e-07*x*x+-4.85489/x)*(1+(0.0296561))" 
1, incl, central, 2, 0, 2.5, 20, 1000, 0, 1, "1.40779+-0.00094558*x+8.74982e-07*x*x+-4.67814/x" 
1, incl, down, 2, 0, 2.5, 20, 1000, 0, 1, "(1.40779+-0.00094558*x+8.74982e-07*x*x+-4.67814/x)*(1-(0.100661+0.000294578*x+-3.2739e-07*x*x))" 
1, incl, down_correlated, 2, 0, 2.5, 20, 1000, 0, 1, "(1.40779+-0.00094558*x+8.74982e-07*x*x+-4.67814/x)*(1-(0.0870395+0.000323013*x+-3.57485e-07*x*x))" 
1, incl, down_uncorrelated, 2, 0, 2.5, 20, 1000, 0, 1, "(1.40779+-0.00094558*x+8.74982e-07*x*x+-4.67814/x)*(1-(0.0511708))" 
1, incl, up, 2, 0, 2.5, 20, 1000, 0, 1, "(1.40779+-0.00094558*x+8.74982e-07*x*x+-4.67814/x)*(1+(0.100661+0.000294578*x+-3.2739e-07*x*x))" 
1, incl, up_correlated, 2, 0, 2.5, 20, 1000, 0, 1, "(1.40779+-0.00094558*x+8.74982e-07*x*x+-4.67814/x)*(1+(0.0870395+0.000323013*x+-3.57485e-07*x*x))" 
1, incl, up_uncorrelated, 2, 0, 2.5, 20, 1000, 0, 1, "(1.40779+-0.00094558*x+8.74982e-07*x*x+-4.67814/x)*(1+(0.0511708))" 
2, incl, central, 2, 0, 2.5, 20, 1000, 0, 1, "0.952956+0.000569069*x+-1.88872e-06*x*x+1.25729e-09*x*x*x" 
2, incl, down, 2, 0, 2.5, 20, 1000, 0, 1, "(0.952956+0.000569069*x+-1.88872e-06*x*x+1.25729e-09*x*x*x)*(1-(0.232956+0.000143975*x+-1.66524e-07*x*x))" 
2, incl, down_correlated, 2, 0, 2.5, 20, 1000, 0, 1, "(0.952956+0.000569069*x+-1.88872e-06*x*x+1.25729e-09*x*x*x)*(1-(0.181036+0.00018716*x+-2.08392e-07*x*x))" 
2, incl, down_uncorrelated, 2, 0, 2.5, 20, 1000, 0, 1, "(0.952956+0.000569069*x+-1.88872e-06*x*x+1.25729e-09*x*x*x)*(1-(0.143241))" 
2, incl, up, 2, 0, 2.5, 20, 1000, 0, 1, "(0.952956+0.000569069*x+-1.88872e-06*x*x+1.25729e-09*x*x*x)*(1+(0.232956+0.000143975*x+-1.66524e-07*x*x))" 
2, incl, up_correlated, 2, 0, 2.5, 20, 1000, 0, 1, "(0.952956+0.000569069*x+-1.88872e-06*x*x+1.25729e-09*x*x*x)*(1+(0.181036+0.00018716*x+-2.08392e-07*x*x))" 
2, incl, up_uncorrelated, 2, 0, 2.5, 20, 1000, 0, 1, "(0.952956+0.000569069*x+-1.88872e-06*x*x+1.25729e-09*x*x*x)*(1+(0.143241))" 
